ID Movimento | ID Veículo | ID Tipo Despesa | Valor | Descrição | Data
10000 | 100234 | 101 | 450.50 | Abastecimento completo para viagem interestadual até São Paulo | 15/03/2024
10001 | 100128 | 102 | 280.00 | Troca de óleo e filtros conforme programação de manutenção preventiva | 22/01/2023
10002 | 100456 | 103 | 1850.00 | Reparo urgente do sistema de freios - pastilhas e discos desgastados | 08/07/2024
10003 | 100312 | 104 | 920.00 | Substituição de 2 pneus dianteiros por desgaste irregular | 14/11/2022
10004 | 100089 | 105 | 385.50 | Pagamento de IPVA e licenciamento anual do veículo | 30/01/2024
10005 | 100267 | 106 | 195.80 | Multa por excesso de velocidade registrada em rodovia | 19/05/2023
10006 | 100445 | 107 | 1650.00 | Renovação anual do seguro total com cobertura completa | 10/02/2024
10007 | 100178 | 108 | 45.50 | Pedágios da rota Goiânia-Brasília ida e volta | 25/09/2024
10008 | 100356 | 109 | 85.00 | Lavagem externa e interna completa do veículo | 03/04/2023
10009 | 100201 | 110 | 320.00 | Instalação de rastreador GPS para segurança da frota | 17/08/2022
10010 | 100423 | 111 | 540.00 | Compra de kit de emergência e extintor novo | 28/06/2024
10011 | 100134 | 112 | 180.00 | Recarga elétrica em posto de carregamento rápido | 11/12/2023
10012 | 100298 | 113 | 75.00 | Impressão de documentos e taxas administrativas do veículo | 06/03/2024
10013 | 100467 | 114 | 250.00 | Aquisição de tapetes personalizados para proteção interna | 21/10/2022
10014 | 100145 | 101 | 520.30 | Abastecimento diesel S10 para rota de entrega regional | 13/05/2024
10015 | 100389 | 102 | 410.00 | Revisão dos 10.000 km com verificação geral de componentes | 02/01/2023
10016 | 100256 | 103 | 2340.00 | Substituição de embreagem completa por fim da vida útil | 18/08/2024
10017 | 100478 | 104 | 1120.00 | Troca completa dos 4 pneus por desgaste acima do limite | 27/02/2023
10018 | 100112 | 105 | 425.00 | Pagamento de taxa de renovação de CNH do motorista | 09/11/2024
10019 | 100334 | 106 | 287.40 | Multa por estacionamento irregular em zona proibida | 15/04/2022
10020 | 100401 | 107 | 1890.00 | Contratação de seguro com cobertura para terceiros | 24/07/2024
10021 | 100223 | 108 | 62.00 | Pedágios e taxas de travessia de ponte na rota | 31/12/2023
10022 | 100489 | 109 | 120.00 | Higienização completa do ar-condicionado e bancos | 16/09/2022
10023 | 100167 | 110 | 280.00 | Manutenção e recalibração do sistema de rastreamento | 05/06/2024
10024 | 100345 | 111 | 680.00 | Instalação de câmera de ré e sensores de estacionamento | 20/03/2023
10025 | 100412 | 112 | 210.00 | Carregamento completo da bateria elétrica em estação | 12/10/2024
10026 | 100189 | 113 | 95.00 | Pagamento de taxa de vistoria anual obrigatória | 29/01/2022
10027 | 100278 | 114 | 340.00 | Compra de organizador de porta-malas e acessórios | 07/05/2024
10028 | 100456 | 101 | 485.70 | Abastecimento etanol para uso urbano durante a semana | 23/08/2023
10029 | 100098 | 102 | 350.00 | Troca de velas de ignição e verificação do sistema elétrico | 14/02/2024
10030 | 100367 | 103 | 1620.00 | Reparo do sistema de suspensão dianteira após impacto | 01/11/2022
10031 | 100234 | 104 | 780.00 | Alinhamento, balanceamento e troca de 1 pneu traseiro | 19/07/2024
10032 | 100445 | 105 | 465.00 | Renovação de documentação e transferência de propriedade | 26/04/2023
10033 | 100156 | 106 | 412.90 | Multa por avanço de sinal vermelho com registro fotográfico | 10/09/2024
10034 | 100389 | 107 | 2100.00 | Seguro contra roubo e incêndio com franquia reduzida | 03/12/2022
10035 | 100267 | 108 | 38.50 | Pedágio único na rota metropolitana de distribuição | 17/06/2024
10036 | 100478 | 109 | 95.00 | Lavagem expressa e aspiração dos interiores | 28/01/2023
10037 | 100123 | 110 | 450.00 | Atualização do firmware do sistema de rastreamento | 11/08/2024
10038 | 100312 | 111 | 820.00 | Instalação de protetor de caçamba e lona de cobertura | 22/03/2022
10039 | 100401 | 112 | 165.00 | Carregamento parcial em ponto de recarga comercial | 04/10/2024
10040 | 100245 | 113 | 110.00 | Taxas de renovação de cadastro na ANTT | 15/05/2023
10041 | 100489 | 114 | 290.00 | Aquisição de capa protetora e suporte para celular | 27/12/2022
10042 | 100178 | 101 | 512.40 | Abastecimento gasolina aditivada para melhor desempenho | 09/07/2024
10043 | 100356 | 102 | 295.00 | Revisão dos freios e verificação de fluidos gerais | 20/02/2023
10044 | 100134 | 103 | 2180.00 | Troca completa do sistema de escapamento por corrosão | 13/09/2024
